Date,Patient_ID,Red_Signal
58:15.7,Vu,19632
58:15.7,Vu,19586
58:15.7,Vu,19543
58:15.7,Vu,19558
58:15.8,Vu,19761
58:15.8,Vu,19907
58:15.8,Vu,20179
58:15.8,Vu,20392
58:15.8,Vu,20496
58:15.8,Vu,20528
58:15.8,Vu,20501
58:15.8,Vu,20485
58:15.8,Vu,20447
58:15.9,Vu,20411
58:15.9,Vu,20386
58:15.9,Vu,20353
58:15.9,Vu,20329
58:15.9,Vu,20308
58:15.9,Vu,20301
58:15.9,Vu,20316
58:15.9,Vu,20370
58:15.9,Vu,20380
58:15.9,Vu,20387
58:16.0,Vu,20402
58:16.0,Vu,20386
58:16.0,Vu,20371
58:16.0,Vu,20360
58:16.0,Vu,20317
58:16.0,Vu,20295
58:16.0,Vu,20253
58:16.0,Vu,20231
58:16.0,Vu,20183
58:16.1,Vu,20153
58:16.1,Vu,20100
58:16.1,Vu,20086
58:16.1,Vu,20050
58:16.1,Vu,20011
58:16.1,Vu,19989
58:16.1,Vu,19940
58:16.1,Vu,19917
58:16.1,Vu,19898
58:16.1,Vu,19867
58:16.2,Vu,19846
58:16.2,Vu,19816
58:16.2,Vu,19782
58:16.2,Vu,19745
58:16.2,Vu,19743
58:16.2,Vu,19691
58:16.2,Vu,19809
58:16.2,Vu,20082
58:16.2,Vu,20321
58:16.2,Vu,20517
58:16.3,Vu,20577
58:16.3,Vu,20639
58:16.3,Vu,20641
58:16.3,Vu,20616
58:16.3,Vu,20592
58:16.3,Vu,20555
58:16.3,Vu,20560
58:16.3,Vu,20533
58:16.3,Vu,20504
58:16.4,Vu,20467
58:16.4,Vu,20428
58:16.4,Vu,20469
58:16.4,Vu,20478
58:16.4,Vu,20502
58:16.4,Vu,20537
58:16.4,Vu,20522
58:16.4,Vu,20520
58:16.4,Vu,20521
58:16.4,Vu,20494
58:16.5,Vu,20462
58:16.5,Vu,20428
58:16.5,Vu,20388
58:16.5,Vu,20365
58:16.5,Vu,20321
58:16.5,Vu,20305
58:16.5,Vu,20265
58:16.5,Vu,20215
58:16.5,Vu,20177
58:16.5,Vu,20134
58:16.6,Vu,20117
58:16.6,Vu,20078
58:16.6,Vu,20048
58:16.6,Vu,20000
58:16.6,Vu,20004
58:16.6,Vu,19957
58:16.6,Vu,19942
58:16.6,Vu,19902
58:16.6,Vu,19868
58:16.7,Vu,19843
