Date,Patient ID,RedSignal
01:49.0,vu,24808
01:49.0,vu,24788
01:49.0,vu,24742
01:49.0,vu,24723
01:49.0,vu,24671
01:49.0,vu,24671
01:49.0,vu,24631
01:49.0,vu,24614
01:49.0,vu,24604
01:49.0,vu,24563
01:49.1,vu,24559
01:49.1,vu,24543
01:49.1,vu,24504
01:49.1,vu,24498
01:49.1,vu,24501
01:49.1,vu,24503
01:49.1,vu,24508
01:49.1,vu,24508
01:49.1,vu,24516
01:49.1,vu,24540
01:49.1,vu,24551
01:49.2,vu,24559
01:49.2,vu,24581
01:49.2,vu,24588
01:49.2,vu,24568
01:49.2,vu,24553
01:49.2,vu,24534
01:49.2,vu,24509
01:49.2,vu,24506
01:49.2,vu,24482
01:49.2,vu,24446
01:49.3,vu,24415
01:49.3,vu,24389
01:49.3,vu,24348
01:49.3,vu,24328
01:49.3,vu,24304
01:49.3,vu,24282
01:49.3,vu,24249
01:49.3,vu,24214
01:49.3,vu,24193
01:49.4,vu,24158
01:49.4,vu,24134
01:49.4,vu,24125
01:49.4,vu,24103
01:49.4,vu,24118
01:49.4,vu,24080
01:49.4,vu,24068
01:49.4,vu,24069
01:49.4,vu,24077
01:49.4,vu,24049
01:49.5,vu,24022
01:49.5,vu,24024
01:49.5,vu,24021
01:49.5,vu,23998
01:49.5,vu,23969
01:49.5,vu,23981
01:49.5,vu,23950
01:49.5,vu,23936
01:49.5,vu,23912
01:49.6,vu,23891
01:49.6,vu,23862
01:49.6,vu,23840
01:49.6,vu,23810
01:49.6,vu,23798
01:49.6,vu,23781
01:49.6,vu,23758
01:49.6,vu,23746
01:49.6,vu,23771
01:49.6,vu,23826
01:49.7,vu,24024
01:49.7,vu,24195
01:49.7,vu,24344
01:49.7,vu,24477
01:49.7,vu,24588
01:49.7,vu,24675
01:49.7,vu,24733
01:49.7,vu,24751
01:49.7,vu,24738
01:49.7,vu,24719
01:49.8,vu,24677
01:49.8,vu,24664
01:49.8,vu,24613
01:49.8,vu,24580
01:49.8,vu,24554
01:49.8,vu,24527
01:49.8,vu,24508
01:49.8,vu,24494
01:49.8,vu,24460
01:49.9,vu,24437
01:49.9,vu,24410
01:49.9,vu,24394
01:49.9,vu,24382
01:49.9,vu,24385
01:49.9,vu,24382
01:49.9,vu,24406
01:49.9,vu,24422
01:49.9,vu,24433
01:49.9,vu,24463
01:50.0,vu,24483
01:50.0,vu,24501
01:50.0,vu,24507
01:50.0,vu,24511
01:50.0,vu,24498
01:50.0,vu,24476
01:50.0,vu,24439
01:50.0,vu,24403
01:50.0,vu,24390
01:50.0,vu,24355
01:50.0,vu,24315
01:50.1,vu,24286
01:50.1,vu,24260
01:50.1,vu,24244
01:50.1,vu,24218
01:50.1,vu,24193
01:50.1,vu,24166
01:50.1,vu,24152
01:50.1,vu,24146
01:50.1,vu,24113
01:50.2,vu,24117
01:50.2,vu,24118
01:50.2,vu,24089
01:50.2,vu,24070
01:50.2,vu,24078
01:50.2,vu,24068
01:50.2,vu,24042
01:50.2,vu,24051
01:50.2,vu,24036
01:50.2,vu,24004
01:50.3,vu,23987
01:50.3,vu,23969
01:50.3,vu,23956
01:50.3,vu,23944
01:50.3,vu,23904
01:50.3,vu,23877
01:50.3,vu,23854
01:50.3,vu,23827
01:50.3,vu,23818
01:50.3,vu,23789
01:50.4,vu,23803
01:50.4,vu,23825
01:50.4,vu,23947
01:50.4,vu,24097
01:50.4,vu,24249
01:50.4,vu,24395
01:50.4,vu,24534
01:50.4,vu,24652
01:50.4,vu,24721
01:50.5,vu,24794
01:50.5,vu,24804
01:50.5,vu,24821
01:50.5,vu,24801
01:50.5,vu,24778
01:50.5,vu,24733
01:50.5,vu,24710
01:50.5,vu,24667
01:50.5,vu,24660
01:50.5,vu,24648
01:50.6,vu,24628
01:50.6,vu,24624
01:50.6,vu,24624
01:50.6,vu,24589
01:50.6,vu,24572
01:50.6,vu,24564
01:50.6,vu,24551
01:50.6,vu,24521
01:50.6,vu,24535
01:50.7,vu,24545
01:50.7,vu,24563
01:50.7,vu,24567
01:50.7,vu,24555
